rank	lemma	root	pos	count
119	هَل		P	93
120	دِين	دين	N	92
121	قَوْل	قول	N	92
122	غَفُور	غفر	N	91
123	لَيْسَ	ليس	V	89
124	شَيْطان	شطن	N	88
125	فَعَلَ	فعل	V	88
126	مَلَك	ملك	N	88
127	مَثَل	مثل	N	88
128	نَظَرَ	نظر	V	87
129	وَلِيّ	ولي	N	86
130	مال	مول	N	86
131	هُدًى	هدي	N	85
132	لَيْل	ليل	N	84
133	ذَكَرَ	ذكر	V	84
134	فَضْل	فضل	N	84
135	خافَ	خوف	V	83
136	قَتَلَ	قتل	V	83
137	كَيْف	كيف	N	83
138	صَلاة	صلو	N	83
139	أَوَّل	أول	N	82
140	بُنَىّ	بني	N	80
141	أَكْثَر	كثر	N	80
142	رَجَعَ	رجع	V	79
143	أَصْحاب	صحب	N	78
144	سَمِعَ	سمع	V	78
145	تَوَلَّى	ولي	V	78
146	جَهَنَّم		N	77
147	أَمَرَ	أمر	V	77
148	ذِكْر	ذكر	N	76
149	زَوْج	زوج	N	76
150	دَخَلَ	دخل	V	76
151	حَياة	حيي	N	76
152	نَبِيّ	نبأ	N	75
153	لَوْلا		P	75
154	مِثْل	مثل	N	75
155	أَخ	أخو	N	75
156	أَحَد	أحد	N	74
157	خالِد	خلد	N	74
158	فِرْعَوْن		N	74
159	صالِح	صلح	N	74
160	جَزَى	جزي	V	73
161	عالَم	علم	N	73
162	أَلِيم	ألم	N	72
163	أَوْحَى	وحي	V	72
164	وَجْه	وجه	N	72
165	أَطاعَ	طوع	V	72
166	أَشْرَكَ	شرك	V	71
167	إِنسان	أنس	N	71
168	بَيِّنَة	بين	N	71
169	أَلْقَى	لقي	V	71
170	عَمَل	عمل	N	71
171	وَعَدَ	وعد	V	70
172	قُرْءان	قرأ	N	70
173	آخَر	أخر	N	70
174	قَلِيل	قلل	N	70
175	قِيامَة	قوم	N	70
176	إِبْراهِيم		N	69
177	أَنفَقَ	نفق	V	68
178	يَمِين	يمن	N	65
179	بَيْت	بيت	N	65
180	غَفَرَ	غفر	V	65
181	لٰكِنّ		P	65
182	لٰكِن		P	65
183	أَصابَ	صوب	V	64
184	آباء	أبو	N	64
185	أَضَلَّ	ضلل	V	64
186	أَحْبَبْ	حبب	V	64
187	أُمَّة	أمم	N	64
188	كَثِير	كثر	N	63
189	ابْن	بني	N	63
190	تابَ	توب	V	63
191	ماء	موه	N	63
192	صالِحَة	صلح	N	62
193	كَسَبَ	كسب	V	62
194	نَزَّلَ	نزل	V	62
195	تَلَى	تلو	V	61
196	رَزَقَ	رزق	V	61
197	قَضَى	قضي	V	59
198	نِساء	نسو	N	59
199	نَصَرَ	نصر	V	59
200	صادِق	صدق	N	59
201	صَبَرَ	صبر	V	58
202	سَيِّئَة	سوأ	N	58
203	نَذِير	نذر	N	58
204	نَهار	نهر	N	57
205	عَيْن	عين	N	57
206	رَحْمٰن	رحم	N	57
207	قَرْيَة	قري	N	57
208	جَرَيْ	جري	V	57
209	وَلَد	ولد	N	56
210	مَسَّ	مسس	V	56
211	شَدِيد	شدد	N	56
212	شَهِيد	شهد	N	56
213	أَمّا		P	55
214	ضَرَبَ	ضرب	V	55
215	رِزْق	رزق	N	55
216	أَقامَ	قوم	V	54
217	قاتَلَ	قتل	V	54
218	نَهَر	نهر	N	54
219	جَمِيع	جمع	N	53
220	خَرَجَ	خرج	V	53
221	ضَلَّ	ضلل	V	53
222	بَعَثَ	بعث	V	52
223	أَجَل	أجل	N	52
224	خَلْق	خلق	N	52
225	مُجْرِم	جرم	N	52
226	تَذَكَّرَ	ذكر	V	51
227	أَحْيا	حيي	V	51
228	بَصِير	بصر	N	51
229	تَحْت	تحت	N	51
230	أَهْلَكَ	هلك	V	51
231	نِعْمَة	نعم	N	50
232	سُوء	سوأ	N	50
233	مَوْت	موت	N	50
234	عَدُوّ	عدو	N	50
235	افْتَرَى	فري	V	50
236	مُتَّقي	وقي	N	49
237	أَعْلَم	علم	N	49
238	غَيْب	غيب	N	49
239	عَقَلُ	عقل	V	49
240	زادَ	زيد	V	49
241	وَعْد	وعد	N	49
242	كَتَبَ	كتب	V	49
243	بَصَر	بصر	N	48
244	ساعَة	سوع	N	48
245	دار	دور	N	48
246	مُلْك	ملك	N	48
247	سَمِيع	سمع	N	47
248	ظَنَّ	ظنن	V	47
249	شَكَرَ	شكر	V	46
250	أَب	أبو	N	46
251	نَبَّأَ	نبأ	V	46
252	حَكَمَ	حكم	V	45
253	خَبِير	خبر	N	45
254	قَدِير	قدر	N	45
255	يَذَرَ	وذر	V	45
256	صِراط	صرط	N	45
257	إِيمان	أمن	N	45
258	صَدْر	صدر	N	44
259	شَهِدَ	شهد	V	44
260	أَنذَرَ	نذر	V	44
261	مُشْرِك	شرك	N	44
262	حَسِبَ	حسب	V	44
263	مَلَكَتْ	ملك	V	44
264	نادَى	ندي	V	44
265	نُوح		N	43
266	حَمْد	حمد	N	43
267	نُور	نور	N	43
268	إِسْرائِيل		N	43
269	اسْتَطاعَ	طوع	V	42
270	سَلام	سلم	N	42
271	سَبَّحَ	سبح	V	42
272	كَلِمَة	كلم	N	42
273	أُدْخِلَ	دخل	V	42
274	جَزاء	جزي	N	42
275	سَوْف		P	42
276	عَلَّمَ	علم	V	41
277	بَحْر	بحر	N	41
278	فَوْق	فوق	N	41
279	حَمَلَ	حمل	V	41
280	عَذَّبَ	عذب	V	41
281	سُبْحان	سبح	N	41
282	خَشِيَ	خشي	V	40
283	كَبِير	كبر	N	40
284	بَلَغَ	بلغ	V	40
285	تَرَكَ	ترك	V	40
286	أَرَيْ	رأي	V	40
287	بِئْسَ	بأس	V	40
288	تَوَكَّلْ	وكل	V	40
289	اسْتَكْبَرَ	كبر	V	40
290	وَيْل		N	40
291	اسْتَغْفَرَ	غفر	V	40
292	اهْتَدَى	هدي	V	40
293	شَرِيك	شرك	N	40
294	حِساب	حسب	N	39
295	اسْم	سمو	N	39
296	ماتَ	موت	V	39
297	مُسْلِم	سلم	N	39
298	إِذْن	أذن	N	39
299	أَلا		P	39
300	جَبَل	جبل	N	39
